,Accuracy,ROC-AUC,Time(s)
TabPFN,0.8153846153846154,0.7664646464646465,135.34079480171204
XGBoost,0.8153846153846154,0.7171717171717172,0.18239426612854004
LightGBM,0.8256410256410256,0.7460606060606061,0.1258563995361328
RandomForest,0.8205128205128205,0.7588888888888888,0.24973034858703613
LogisticReg,0.8051282051282052,0.7179797979797979,0.021318435668945312
